"term" "estimate" "std.error" "statistic" "p.value"
"1" "(Intercept)" -0.0422044729151281 0.0417831391249131 -1.01008382326075 0.312455131834251
"2" "Nfactors1" -0.0151781364102623 0.059095803171865 -0.2568394978256 0.797302677714749
"3" "Nfactors3" 0.160412923284858 0.0591351576199566 2.71264895099768 0.006674777587394
"4" "Nfactors5" 0.418790036488562 0.0596085229492113 7.02567377563419 2.13035682051168e-12
"5" "(phi)" 285.521156647631 71.2564753804398 4.0069503174726 6.15077949345402e-05
"6" "(Intercept)" 0.0469297857019835 0.0984845801126316 0.47651912257038 0.633704587237957
"7" "Nfactors1" 0.178829659105714 0.139685098894595 1.28023433079757 0.200462735330828
"8" "Nfactors3" 0.411741986228977 0.141032320993949 2.91948670579309 0.00350608348352363
"9" "Nfactors5" 0.847844330709683 0.146180308194832 5.79999003408624 6.63188608398334e-09
"10" "(phi)" 40.245756100355 8.89527089838979 4.5243991509736 6.0567324408886e-06
"11" "(Intercept)" 6.201 0.0494084450721175 125.504860372532 3.67334913104951e-49
"12" "Nfactors1" 0.456000000000001 0.0698740931167546 6.52602387608891 1.38528948579868e-07
"13" "Nfactors3" 0.158000000000001 0.0698740931167546 2.26121002724134 0.0298856853397049
"14" "Nfactors5" 0.215000000000001 0.0698740931167547 3.07696301175246 0.00398256612268983
"15" "(Intercept)" 55.435369093 3.61697046466225 15.3264644084332 4.26930773911085e-17
"16" "Nfactors1" -11.592568481 5.11516868582827 -2.26631205987742 0.0297210119444965
"17" "Nfactors3" -22.398268363 5.25533624574471 -4.2620048110406 0.000145360284212135
"18" "Nfactors5" -31.025976873 5.11516868582828 -6.06548459661914 6.33100487019943e-07
